Grievance,Category/Label
Delayed processing of income tax refund despite multiple follow-ups.,Central Board of Direct Taxes (Income Tax)
Request for subsidy and assistance for organic farming initiatives.,Agriculture and Cooperation
Poor road conditions causing accidents on highways in the state.,Road Transport and Highways
Shortage of water supply in villages leading to crop failures.,Drinking Water and Sanitation
Non-payment of pension to retired military personnel for the last 6 months.,Ex Servicemen Welfare
"Inadequate facilities at local airports, including lack of security and sanitation.",Civil Aviation
Request for better rural electrification projects in the region.,Power
Delays in issuing educational certificates under the Right to Education Act.,School Education and Literacy
Concerns over illegal mining operations affecting local communities.,Mines
Non-availability of life-saving medicines in government hospitals.,Health & Family Welfare
Request for improvements in O/o the Comptroller & Auditor General of India programs.,O/o the Comptroller & Auditor General of India
Challenges faced by users of Information and Broadcasting services.,Information and Broadcasting
Non-compliance with regulations under Mines.,Mines
Request for improvements in Legislative Department programs.,Legislative Department
Delayed resolution of issues in Defence Finance.,Defence Finance
Non-compliance with regulations under Bio Technology.,Bio Technology
Poor services affecting Women and Child Development beneficiaries.,Women and Child Development
Need for better policy implementation in Science and Technology.,Science and Technology
Non-compliance with regulations under Social Justice and Empowerment.,Social Justice and Empowerment
Urgent need for reform in Panchayati Raj sector.,Panchayati Raj
Request for improvements in Posts programs.,Posts
Delayed resolution of issues in Unique Identification Authority of India.,Unique Identification Authority of India
Concerns over lack of infrastructure in Agriculture Research and Education.,Agriculture Research and Education
Delayed resolution of issues in Health & Family Welfare.,Health & Family Welfare
Challenges faced by users of Economic Affairs services.,Economic Affairs
Delayed resolution of issues in Central Board of Excise and Customs.,Central Board of Excise and Customs
"Poor services affecting Animal Husbandry, Dairying beneficiaries.","Animal Husbandry, Dairying"
Delayed resolution of issues in Financial Services (Banking Division).,Financial Services (Banking Division)
Concerns over lack of infrastructure in Petroleum and Natural Gas.,Petroleum and Natural Gas
Inadequate allocation of resources for Industrial Policy & Promotion.,Industrial Policy & Promotion
Non-compliance with regulations under Fisheries.,Fisheries
Request for improvements in Youth Affairs programs.,Youth Affairs
Insufficient support for Central Board of Excise and Customs projects.,Central Board of Excise and Customs
Concerns over lack of infrastructure in Telecommunications.,Telecommunications
Poor services affecting Steel beneficiaries.,Steel
Insufficient support for Land Resources projects.,Land Resources
Inadequate allocation of resources for Shipping.,Shipping
"Inadequate allocation of resources for Railways, ( Railway Board).","Railways, ( Railway Board)"
Delayed resolution of issues in Telecommunications.,Telecommunications
Insufficient support for Telecommunications projects.,Telecommunications
Request for improvements in Public Enterprises programs.,Public Enterprises
Concerns over lack of infrastructure in Home Affairs.,Home Affairs
Concerns over lack of infrastructure in Consumer Affairs.,Consumer Affairs
Non-compliance with regulations under Legal Affairs.,Legal Affairs
Poor services affecting Consumer Affairs beneficiaries.,Consumer Affairs
Concerns over lack of infrastructure in Chemicals and Petrochemicals.,Chemicals and Petrochemicals
Need for better policy implementation in Tribal Affairs.,Tribal Affairs
Insufficient support for Skill Development and Entrepreneurship projects.,Skill Development and Entrepreneurship
Inadequate allocation of resources for Public Enterprises.,Public Enterprises
Poor services affecting Skill Development and Entrepreneurship beneficiaries.,Skill Development and Entrepreneurship
Request for improvements in Industrial Policy & Promotion programs.,Industrial Policy & Promotion
Request for improvements in Fertilizers programs.,Fertilizers
Poor services affecting O/o the Comptroller & Auditor General of India beneficiaries.,O/o the Comptroller & Auditor General of India
Need for better policy implementation in Minority Affairs.,Minority Affairs
Challenges faced by users of Personnel and Training services.,Personnel and Training
Need for better policy implementation in Central Board of Excise and Customs.,Central Board of Excise and Customs
Request for improvements in Science and Technology programs.,Science and Technology
Inadequate allocation of resources for Road Transport and Highways.,Road Transport and Highways
Non-compliance with regulations under Road Transport and Highways.,Road Transport and Highways
Non-compliance with regulations under Panchayati Raj.,Panchayati Raj
Need for better policy implementation in Defence.,Defence
Challenges faced by users of External Affairs services.,External Affairs
Non-compliance with regulations under Scientific & Industrial Research.,Scientific & Industrial Research
Poor services affecting Tourism beneficiaries.,Tourism
Request for improvements in Telecommunications programs.,Telecommunications
Delayed resolution of issues in Development of North Eastern Region.,Development of North Eastern Region
Challenges faced by users of O/o the Comptroller & Auditor General of India services.,O/o the Comptroller & Auditor General of India
Non-compliance with regulations under Atomic Energy.,Atomic Energy
Request for improvements in Ex Servicemen Welfare programs.,Ex Servicemen Welfare
Poor services affecting Agriculture Research and Education beneficiaries.,Agriculture Research and Education
Poor services affecting Social Justice and Empowerment beneficiaries.,Social Justice and Empowerment
Need for better policy implementation in Health Research.,Health Research
Challenges faced by users of Steel services.,Steel
Need for better policy implementation in Defence Production.,Defence Production
Non-compliance with regulations under Central Board of Excise and Customs.,Central Board of Excise and Customs
Delayed resolution of issues in Revenue.,Revenue
